,Name,Authors,ISBN,ID,genres,pagesNumber,averageRating,userRating
8240,"Princess in the Spotlight (The Princess Diaries, #2)",Meg Cabot,0060294663,3216,Young Adult Romance Womens Fiction Chick Lit Fiction Contemporary Young Adult Teen Childrens Humor Realistic Fiction Young Adult High School,240.0,3.69,4
8241,"Princess in the Spotlight (The Princess Diaries, #2)",Meg Cabot,0060294663,1416,Young Adult Romance Womens Fiction Chick Lit Fiction Contemporary Young Adult Teen Childrens Humor Realistic Fiction Young Adult High School,240.0,3.69,2
4655,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,0060502932,4933,Fantasy Fiction Humor Humor Comedy Science Fiction Fantasy Audiobook Science Fiction Novels Adult Fantasy High Fantasy,394.0,4.39,5
4657,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,0060502932,4666,Fantasy Fiction Humor Humor Comedy Science Fiction Fantasy Audiobook Science Fiction Novels Adult Fantasy High Fantasy,394.0,4.39,4
4661,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,0060502932,3651,Fantasy Fiction Humor Humor Comedy Science Fiction Fantasy Audiobook Science Fiction Novels Adult Fantasy High Fantasy,394.0,4.39,5
4654,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,0060502932,2924,Fantasy Fiction Humor Humor Comedy Science Fiction Fantasy Audiobook Science Fiction Novels Adult Fantasy High Fantasy,394.0,4.39,5
4656,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,0060502932,3748,Fantasy Fiction Humor Humor Comedy Science Fiction Fantasy Audiobook Science Fiction Novels Adult Fantasy High Fantasy,394.0,4.39,3
4651,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,0060502932,73,Fantasy Fiction Humor Humor Comedy Science Fiction Fantasy Audiobook Science Fiction Novels Adult Fantasy High Fantasy,394.0,4.39,5
4649,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,0060502932,4529,Fantasy Fiction Humor Humor Comedy Science Fiction Fantasy Audiobook Science Fiction Novels Adult Fantasy High Fantasy,394.0,4.39,4
4652,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",Terry Pratchett,0060502932,4534,Fantasy Fiction Humor Humor Comedy Science Fiction Fantasy Audiobook Science Fiction Novels Adult Fantasy High Fantasy,394.0,4.39,5
